recordType,id,x,y,isGateway,energy,from,to,edgeType,nextHop,cluster,clusterRadius
node,37,168.101,341.283,1,10,,,,63,-1,42.6362
node,38,398.364,305.889,1,10,,,,31,-1,68.7362
node,39,444.306,261.799,1,10,,,,111,-1,65.816
node,40,408.171,164.804,1,10,,,,74,-1,45.4527
node,41,344.852,360.216,1,10,,,,44,-1,55.0521
node,42,301.689,425.16,1,10,,,,106,-1,50.6622
node,43,363.979,381.573,1,10,,,,119,-1,41.9178
node,44,408.549,297.162,1,10,,,,39,-1,42.9346
node,45,477.5,145.532,1,10,,,,74,-1,44.5821
node,46,437.051,384.999,1,10,,,,104,-1,43.1382
node,47,271.021,142.876,1,10,,,,26,-1,62.1944
node,48,468.007,141.769,1,10,,,,-1,-1,67.3756
node,49,21.8368,370.251,1,10,,,,36,-1,76.0775
node,50,343.864,44.0467,1,10,,,,112,-1,56.9565
node,51,397.944,12.4018,1,10,,,,84,-1,64.2522
node,52,323.546,199.741,1,10,,,,40,-1,44.756
node,53,180.314,151.093,1,10,,,,10,-1,44.0219
node,54,167.594,247.542,1,10,,,,63,-1,49.273
node,55,124.451,271.424,1,10,,,,37,-1,51.945
node,56,96.2037,62.5497,1,10,,,,6,-1,45.9877
node,57,328.134,413.299,1,10,,,,99,-1,41.2972
node,58,349.747,360.846,1,10,,,,119,-1,45.9981
node,59,199.403,418.889,1,10,,,,115,-1,50.5352
node,60,418.167,470.271,1,10,,,,104,-1,45.4785
node,61,263.999,443.978,1,10,,,,42,-1,45.4902
node,62,26.662,365.41,1,10,,,,25,-1,80
node,63,201.792,294.858,1,10,,,,99,-1,40.7483
node,64,265.645,460.65,1,10,,,,34,-1,43.9607
node,65,24.7615,365.224,1,10,,,,110,-1,65.0005
node,66,37.4527,247.82,1,10,,,,97,-1,43.4445
node,67,424.575,329.026,1,10,,,,44,-1,50.971
node,68,104.796,219.417,1,10,,,,10,-1,50.2225
node,69,238.799,496.653,1,10,,,,59,-1,56.2668
node,70,339.299,54.9986,1,10,,,,35,-1,54.9568
node,71,345.824,335.465,1,10,,,,67,-1,42.9261
node,72,343.384,20.6028,1,10,,,,103,-1,56.9154
node,73,93.7222,104.335,1,10,,,,76,-1,50.7118
node,74,442.687,188.3,1,10,,,,-1,-1,56.9008
node,75,170,184.547,1,10,,,,96,-1,60.5674
node,76,109.305,86.2109,1,10,,,,91,-1,49.6992
node,77,216.099,6.74933,1,10,,,,13,-1,46.182
node,78,97.8668,394.473,1,10,,,,105,-1,41.2992
node,79,204.489,120.53,1,10,,,,35,-1,49.8111
node,80,139.32,417.212,1,10,,,,17,-1,45.6172
node,81,385.905,331.188,1,10,,,,111,-1,72.4072
node,82,290.859,323.937,1,10,,,,2,-1,43.8393
node,83,14.6753,390.52,1,10,,,,20,-1,48.5489
node,84,485.902,38.0816,1,10,,,,45,-1,48.0558
node,85,180.317,62.3584,1,10,,,,22,-1,46.0734
node,86,18.1722,178.823,1,10,,,,107,-1,45.7221
node,87,206.963,403.524,1,10,,,,0,-1,47.7614
node,88,445.031,46.2503,1,10,,,,32,-1,69.2638
node,89,311.221,278.265,1,10,,,,71,-1,41.5375
node,90,318.728,418.666,1,10,,,,2,-1,56.8531
node,91,209.127,62.3664,1,10,,,,118,-1,45.9732
node,92,214.944,340.017,1,10,,,,99,-1,47.229
node,93,330.915,497.119,1,10,,,,2,-1,49.1084
node,94,2.60149,330.615,1,10,,,,98,-1,41.6673
node,95,15.2244,422.804,1,10,,,,110,-1,53.4672
node,96,233.014,218.779,1,10,,,,35,-1,40
node,97,67.8014,198.778,1,10,,,,102,-1,47.7917
node,98,23.3856,225.483,1,10,,,,97,-1,67.8378
node,99,282.956,328.37,1,10,,,,101,-1,52.166
node,100,82.7887,481.588,1,10,,,,1,-1,49.2736
node,101,278.854,305.467,1,10,,,,16,-1,40.348
node,102,130.301,211.548,1,10,,,,75,-1,40.6468
node,103,334.507,127.527,1,10,,,,52,-1,43.4473
node,104,482.844,384.535,1,10,,,,67,-1,46.0744
node,105,151.393,449.523,1,10,,,,80,-1,46.2173
node,106,335.81,331.231,1,10,,,,5,-1,42.9494
node,107,55.4761,69.4178,1,10,,,,73,-1,72.2245
node,108,356.021,32.6777,1,10,,,,88,-1,47.4651
node,109,192.02,462.989,1,10,,,,61,-1,45.2975
node,110,68.3789,325.402,1,10,,,,78,-1,46.5996
node,111,479.47,272.082,1,10,,,,-1,-1,76.8637
node,112,347.666,143.258,1,10,,,,32,-1,44.8208
node,113,222.646,483.605,1,10,,,,87,-1,42.805
node,114,409.787,72.3044,1,10,,,,45,-1,40.4896
node,115,235.826,434.578,1,10,,,,117,-1,42.6719
