round,alive_sensors,alive_gateways,avg_energy_sensors,avg_energy_gateways,firstCHFailureRound
241,600,60,1.92472,9.32335,-1
242,600,60,1.92441,9.32055,-1
243,600,60,1.9241,9.31776,-1
244,600,60,1.92379,9.31496,-1
245,600,60,1.92348,9.31216,-1
246,600,60,1.92317,9.30937,-1
247,600,60,1.92286,9.30657,-1
248,600,60,1.92254,9.30378,-1
249,600,60,1.92223,9.30098,-1
250,600,60,1.92192,9.29818,-1
251,600,60,1.92161,9.29539,-1
252,600,60,1.9213,9.29259,-1
253,600,60,1.92099,9.2898,-1
254,600,60,1.92068,9.287,-1
255,600,60,1.92037,9.2842,-1
256,600,60,1.92006,9.28141,-1
257,600,60,1.91974,9.27861,-1
258,600,60,1.91943,9.27582,-1
259,600,60,1.91912,9.27302,-1
260,600,60,1.91881,9.27022,-1
261,600,60,1.9185,9.26743,-1
262,600,60,1.91819,9.26463,-1
263,600,60,1.91788,9.26184,-1
264,600,60,1.91757,9.25904,-1
265,600,60,1.91726,9.25624,-1
266,600,60,1.91695,9.25345,-1
267,600,60,1.91663,9.25065,-1
268,600,60,1.91632,9.24785,-1
269,600,60,1.91601,9.24506,-1
270,600,60,1.9157,9.24226,-1
271,600,60,1.91539,9.23947,-1
272,600,60,1.91508,9.23667,-1
273,600,60,1.91477,9.23387,-1
274,600,60,1.91446,9.23108,-1
275,600,60,1.91415,9.22828,-1
276,600,60,1.91383,9.22549,-1
277,600,60,1.91352,9.22269,-1
278,600,60,1.91321,9.21989,-1
279,600,60,1.9129,9.2171,-1
280,600,60,1.91259,9.2143,-1
281,600,60,1.91228,9.21151,-1
282,600,60,1.91197,9.20871,-1
283,600,60,1.91166,9.20591,-1
284,600,60,1.91135,9.20312,-1
285,600,60,1.91103,9.20032,-1
286,600,60,1.91072,9.19753,-1
287,600,60,1.91041,9.19473,-1
288,600,60,1.9101,9.19193,-1
289,600,60,1.90979,9.18914,-1
290,600,60,1.90948,9.18634,-1
291,600,60,1.90917,9.18355,-1
292,600,60,1.90886,9.18075,-1
293,600,60,1.90855,9.17795,-1
294,600,60,1.90824,9.17516,-1
295,600,60,1.90792,9.17236,-1
296,600,60,1.90761,9.16956,-1
297,600,60,1.9073,9.16677,-1
298,600,60,1.90699,9.16397,-1
299,600,60,1.90668,9.16118,-1
300,600,60,1.90637,9.15838,-1
301,600,60,1.90606,9.15558,-1
302,600,60,1.90575,9.15279,-1
303,600,60,1.90544,9.14999,-1
304,600,60,1.90512,9.1472,-1
305,600,60,1.90481,9.1444,-1
306,600,60,1.9045,9.1416,-1
307,600,60,1.90419,9.13881,-1
308,600,60,1.90388,9.13601,-1
309,600,60,1.90357,9.13322,-1
310,600,60,1.90326,9.13042,-1
311,600,60,1.90295,9.12762,-1
312,600,60,1.90264,9.12483,-1
313,600,60,1.90233,9.12203,-1
314,600,60,1.90201,9.11924,-1
315,600,60,1.9017,9.11644,-1
316,600,60,1.90139,9.11364,-1
317,600,60,1.90108,9.11085,-1
318,600,60,1.90077,9.10805,-1
319,600,60,1.90046,9.10525,-1
320,600,60,1.90015,9.10246,-1
321,600,60,1.89984,9.09966,-1
322,600,60,1.89953,9.09687,-1
323,600,60,1.89921,9.09407,-1
324,600,60,1.8989,9.09127,-1
325,600,60,1.89859,9.08848,-1
326,600,60,1.89828,9.08568,-1
327,600,60,1.89797,9.08289,-1
328,600,60,1.89766,9.08009,-1
329,600,60,1.89735,9.07729,-1
330,600,60,1.89704,9.0745,-1
331,600,60,1.89673,9.0717,-1
332,600,60,1.89641,9.06891,-1
333,600,60,1.8961,9.06611,-1
334,600,60,1.89579,9.06331,-1
335,600,60,1.89548,9.06052,-1
336,600,60,1.89517,9.05772,-1
337,600,60,1.89486,9.05493,-1
338,600,60,1.89455,9.05213,-1
339,600,60,1.89424,9.04933,-1
340,600,60,1.89393,9.04654,-1
341,600,60,1.89362,9.04374,-1
342,600,60,1.8933,9.04095,-1
343,600,60,1.89299,9.03815,-1
344,600,60,1.89268,9.03535,-1
345,600,60,1.89237,9.03256,-1
346,600,60,1.89206,9.02976,-1
347,600,60,1.89175,9.02696,-1
348,600,60,1.89144,9.02417,-1
349,600,60,1.89113,9.02137,-1
350,600,60,1.89082,9.01858,-1
351,600,60,1.8905,9.01578,-1
352,600,60,1.89019,9.01298,-1
353,600,60,1.88988,9.01019,-1
354,600,60,1.88957,9.00739,-1
355,600,60,1.88926,9.0046,-1
356,600,60,1.88895,9.0018,-1
357,600,60,1.88864,8.999,-1
358,600,60,1.88833,8.99621,-1
359,600,60,1.88802,8.99341,-1
360,600,60,1.8877,8.99062,-1
361,600,60,1.88739,8.98782,-1
362,600,60,1.88708,8.98502,-1
363,600,60,1.88677,8.98223,-1
364,600,60,1.88646,8.97943,-1
365,600,60,1.88615,8.97664,-1
366,600,60,1.88584,8.97384,-1
367,600,60,1.88553,8.97104,-1
368,600,60,1.88522,8.96825,-1
369,600,60,1.88491,8.96545,-1
370,600,60,1.88459,8.96265,-1
371,600,60,1.88428,8.95986,-1
372,600,60,1.88397,8.95706,-1
373,600,60,1.88366,8.95427,-1
374,600,60,1.88335,8.95147,-1
375,600,60,1.88304,8.94867,-1
376,600,60,1.88273,8.94588,-1
377,600,60,1.88242,8.94308,-1
378,600,60,1.88211,8.94029,-1
379,600,60,1.88179,8.93749,-1
380,600,60,1.88148,8.93469,-1
381,600,60,1.88117,8.9319,-1
382,600,60,1.88086,8.9291,-1
383,600,60,1.88055,8.92631,-1
384,600,60,1.88024,8.92351,-1
385,600,60,1.87993,8.92071,-1
386,600,60,1.87962,8.91792,-1
387,600,60,1.87931,8.91512,-1
388,600,60,1.879,8.91233,-1
389,600,60,1.87868,8.90953,-1
390,600,60,1.87837,8.90673,-1
391,600,60,1.87806,8.90394,-1
392,600,60,1.87775,8.90114,-1
393,600,60,1.87744,8.89834,-1
394,600,60,1.87713,8.89555,-1
395,600,60,1.87682,8.89275,-1
396,600,60,1.87651,8.88996,-1
397,600,60,1.8762,8.88716,-1
398,600,60,1.87588,8.88436,-1
399,600,60,1.87557,8.88157,-1
400,600,60,1.87526,8.87877,-1
401,600,60,1.87495,8.87598,-1
402,600,60,1.87464,8.87318,-1
403,600,60,1.87433,8.87038,-1
404,600,60,1.87402,8.86759,-1
405,600,60,1.87371,8.86479,-1
406,600,60,1.8734,8.862,-1
407,600,60,1.87308,8.8592,-1
408,600,60,1.87277,8.8564,-1
409,600,60,1.87246,8.85361,-1
410,600,60,1.87215,8.85081,-1
411,600,60,1.87184,8.84802,-1
412,600,60,1.87153,8.84522,-1
413,600,60,1.87122,8.84242,-1
414,600,60,1.87091,8.83963,-1
415,600,60,1.8706,8.83683,-1
416,600,60,1.87029,8.83404,-1
417,600,60,1.86997,8.83124,-1
418,600,60,1.86966,8.82844,-1
419,600,60,1.86935,8.82565,-1
420,600,60,1.86904,8.82285,-1
421,600,60,1.86873,8.82005,-1
422,600,60,1.86842,8.81726,-1
423,600,60,1.86811,8.81446,-1
424,600,60,1.8678,8.81167,-1
425,600,60,1.86749,8.80887,-1
426,600,60,1.86717,8.80607,-1
427,600,60,1.86686,8.80328,-1
