recordType,id,x,y,isGateway,energy,from,to,edgeType,nextHop,cluster,clusterRadius
node,295,396.386,150.935,0,2,,,,-2,16,-1
node,296,390.695,467.274,0,2,,,,-2,61,-1
node,297,127.173,482.471,0,2,,,,-2,26,-1
node,298,34.4902,451.63,0,2,,,,-2,73,-1
node,299,175.494,31.8603,0,2,,,,-2,110,-1
node,300,203.834,185.915,0,2,,,,-2,19,-1
node,301,302.575,420.483,0,2,,,,-2,20,-1
node,302,51.8633,469.574,0,2,,,,-2,53,-1
node,303,13.4895,158.956,0,2,,,,-2,15,-1
node,304,309.352,307.013,0,2,,,,-2,103,-1
node,305,411.362,157.883,0,2,,,,-2,68,-1
node,306,68.2711,164.564,0,2,,,,-2,35,-1
node,307,134.305,454.707,0,2,,,,-2,26,-1
node,308,179.765,246.519,0,2,,,,-2,22,-1
node,309,330.607,90.8192,0,2,,,,-2,16,-1
node,310,47.4027,367.238,0,2,,,,-2,70,-1
node,311,311.868,0.20951,0,2,,,,-2,72,-1
node,312,246.262,439.546,0,2,,,,-2,37,-1
node,313,216.064,150.011,0,2,,,,-2,110,-1
node,314,130.473,149.396,0,2,,,,-2,105,-1
node,315,346.022,293.595,0,2,,,,-2,103,-1
node,316,114.075,173.457,0,2,,,,-2,15,-1
node,317,77.4378,276.138,0,2,,,,-2,5,-1
node,318,335.014,116.106,0,2,,,,-2,16,-1
node,319,20.0827,183.6,0,2,,,,-2,7,-1
node,320,429.424,232.656,0,2,,,,-2,2,-1
node,321,363.59,132.508,0,2,,,,-2,68,-1
node,322,288.658,361.625,0,2,,,,-2,107,-1
node,323,296.993,4.05434,0,2,,,,-2,111,-1
node,324,312.065,197.907,0,2,,,,-2,75,-1
node,325,115.986,12.2982,0,2,,,,-2,67,-1
node,326,485.137,442.991,0,2,,,,-2,8,-1
node,327,368.198,369.47,0,2,,,,-2,18,-1
node,328,472.84,397.56,0,2,,,,-2,95,-1
node,329,225.428,366.932,0,2,,,,-2,113,-1
node,330,247.777,103.359,0,2,,,,-2,69,-1
node,331,492.141,163.322,0,2,,,,-2,24,-1
node,332,91.8092,401.32,0,2,,,,-2,6,-1
node,333,89.8753,14.8867,0,2,,,,-2,67,-1
node,334,40.8361,25.9515,0,2,,,,-2,10,-1
node,335,263.469,31.8556,0,2,,,,-2,104,-1
node,336,389.919,184.573,0,2,,,,-2,101,-1
node,337,422.101,249.319,0,2,,,,-2,100,-1
node,338,115.673,262.438,0,2,,,,-2,119,-1
node,339,31.251,458.754,0,2,,,,-2,73,-1
node,340,225.576,174.635,0,2,,,,-2,12,-1
node,341,499.496,55.681,0,2,,,,-2,30,-1
node,342,54.349,129.399,0,2,,,,-2,7,-1
node,343,235.186,55.7128,0,2,,,,-2,1,-1
node,344,252.474,30.0887,0,2,,,,-2,0,-1
node,345,237.195,64.6986,0,2,,,,-2,111,-1
node,346,246.558,470.175,0,2,,,,-2,118,-1
node,347,403.366,408.484,0,2,,,,-2,102,-1
node,348,412.302,22.1604,0,2,,,,-2,44,-1
node,349,480.382,55.4367,0,2,,,,-2,59,-1
node,350,101.94,168.872,0,2,,,,-2,60,-1
node,351,287.168,356.043,0,2,,,,-2,38,-1
node,352,376.448,125.015,0,2,,,,-2,16,-1
node,353,53.2497,40.3866,0,2,,,,-2,52,-1
node,354,119.396,491.826,0,2,,,,-2,53,-1
node,355,278.981,229.892,0,2,,,,-2,108,-1
node,356,181.455,205.174,0,2,,,,-2,3,-1
node,357,347.79,54.3188,0,2,,,,-2,44,-1
node,358,273.066,430.45,0,2,,,,-2,84,-1
node,359,106.806,62.0612,0,2,,,,-2,0,-1
node,360,60.2718,285.51,0,2,,,,-2,114,-1
node,361,168.917,204.754,0,2,,,,-2,105,-1
node,362,248.721,228.792,0,2,,,,-2,97,-1
node,363,296.165,94.8021,0,2,,,,-2,42,-1
node,364,190.701,282.453,0,2,,,,-2,3,-1
node,365,484.66,113.859,0,2,,,,-2,14,-1
node,366,454.649,405.094,0,2,,,,-2,29,-1
node,367,195.691,65.5224,0,2,,,,-2,0,-1
node,368,93.9035,340.103,0,2,,,,-2,77,-1
node,369,490.761,359.828,0,2,,,,-2,90,-1
node,370,276.926,110.509,0,2,,,,-2,65,-1
node,371,405.3,162.783,0,2,,,,-2,41,-1
node,372,337.001,459.178,0,2,,,,-2,37,-1
node,373,317.19,96.5603,0,2,,,,-2,12,-1
node,374,356.919,313.637,0,2,,,,-2,71,-1
node,375,361.65,306.549,0,2,,,,-2,38,-1
node,376,406.083,132.921,0,2,,,,-2,64,-1
node,377,318.523,152.284,0,2,,,,-2,75,-1
node,378,317.021,365.612,0,2,,,,-2,38,-1
node,379,19.4125,238.097,0,2,,,,-2,60,-1
node,380,368.356,84.8119,0,2,,,,-2,45,-1
node,381,355.177,149.038,0,2,,,,-2,12,-1
node,382,13.3854,184.899,0,2,,,,-2,35,-1
node,383,173.401,377.782,0,2,,,,-2,17,-1
node,384,256.874,77.9316,0,2,,,,-2,111,-1
node,385,37.9672,411.101,0,2,,,,-2,77,-1
node,386,494.246,356.708,0,2,,,,-2,109,-1
node,387,171.874,228.375,0,2,,,,-2,89,-1
node,388,408.348,42.1674,0,2,,,,-2,45,-1
node,389,253.222,382.562,0,2,,,,-2,34,-1
node,390,312.98,162.547,0,2,,,,-2,12,-1
node,391,266.51,200.853,0,2,,,,-2,12,-1
node,392,140.24,122.544,0,2,,,,-2,110,-1
node,393,332.829,42.8335,0,2,,,,-2,104,-1
node,394,161.634,202.014,0,2,,,,-2,119,-1
node,395,433.211,486.255,0,2,,,,-2,61,-1
node,396,195.829,54.4666,0,2,,,,-2,0,-1
node,397,233.503,82.63,0,2,,,,-2,58,-1
